id,project_id,src,stars,forks,downloads,mentions,captured_at,created_at
19,jaredhanson/passport,github,23361,1244,,,2025-07-17 21:35:41.363+00,2025-07-17 21:35:41.423368+00
20,jquense/yup,github,23456,942,,,2025-07-17 21:35:41.6+00,2025-07-17 21:35:41.66156+00
21,lodash/lodash,github,60742,7065,,,2025-07-17 21:35:41.846+00,2025-07-17 21:35:41.905107+00
22,mui/material-ui,github,96145,32588,,,2025-07-17 21:35:42.17+00,2025-07-17 21:35:42.224028+00
23,nextui-org/nextui,github,24875,1842,,,2025-07-17 21:35:42.523+00,2025-07-17 21:35:42.580167+00
24,prettier/prettier,github,50730,4533,,,2025-07-17 21:35:42.8+00,2025-07-17 21:35:42.852426+00
25,prisma/prisma,github,42882,1798,,,2025-07-17 21:35:43.132+00,2025-07-17 21:35:43.191221+00
26,react-hook-form/react-hook-form,github,43508,2241,,,2025-07-17 21:35:43.45+00,2025-07-17 21:35:43.505772+00
27,rollup/rollup,github,25890,1603,,,2025-07-17 21:35:43.733+00,2025-07-17 21:35:43.794647+00
28,sequelize/sequelize,github,30083,4294,,,2025-07-17 21:35:44.027+00,2025-07-17 21:35:44.079412+00
29,supabase/supabase,github,85778,9224,,,2025-07-17 21:35:44.252+00,2025-07-17 21:35:44.304035+00
30,sveltejs/svelte,github,83416,4566,,,2025-07-17 21:35:44.599+00,2025-07-17 21:35:44.656686+00
31,tailwindlabs/tailwindcss,github,89002,4627,,,2025-07-17 21:35:44.892+00,2025-07-17 21:35:44.948587+00
32,tanstack/react-query,github,45883,3339,,,2025-07-17 21:35:45.269+00,2025-07-17 21:35:45.321787+00
33,tanstack/react-table,github,26704,3280,,,2025-07-17 21:35:45.613+00,2025-07-17 21:35:45.664822+00
34,testing-library/react-testing-library,github,19338,1131,,,2025-07-17 21:35:45.846+00,2025-07-17 21:35:45.905177+00
35,typeorm/typeorm,github,35556,6421,,,2025-07-17 21:35:46.1+00,2025-07-17 21:35:46.156517+00
37,vercel/next.js,github,133244,28861,,,2025-07-17 21:35:46.396+00,2025-07-17 21:35:46.469464+00
38,vitejs/vite,github,74184,6958,,,2025-07-17 21:35:46.71+00,2025-07-17 21:35:46.776183+00
39,vitest-dev/vitest,github,14657,1384,,,2025-07-17 21:35:46.979+00,2025-07-17 21:35:47.035351+00
41,vuejs/vue,github,209157,33756,,,2025-07-17 21:35:47.237+00,2025-07-17 21:35:47.28788+00
42,webpack/webpack,github,65442,9080,,,2025-07-17 21:35:47.492+00,2025-07-17 21:35:47.553117+00
80,angular/angular,github,98301,26416,,,2025-07-17 22:02:24.327+00,2025-07-17 22:02:24.517451+00
81,ant-design/ant-design,github,95398,52969,,,2025-07-17 22:02:24.797+00,2025-07-17 22:02:24.848364+00
82,auth0/node-jsonwebtoken,github,18018,1246,,,2025-07-17 22:02:25.09+00,2025-07-17 22:02:25.285059+00
83,Automattic/mongoose,github,27286,3859,,,2025-07-17 22:02:25.521+00,2025-07-17 22:02:25.705807+00
84,axios/axios,github,107229,11173,,,2025-07-17 22:02:25.939+00,2025-07-17 22:02:25.983938+00
85,angular/angular,npm,,,439009,,2025-07-17 22:02:25.994+00,2025-07-17 22:02:26.181139+00
86,chakra-ui/chakra-ui,github,39378,3445,,,2025-07-17 22:02:26.191+00,2025-07-17 22:02:26.240601+00
87,colinhacks/zod,github,39077,1529,,,2025-07-17 22:02:26.406+00,2025-07-17 22:02:26.451963+00
88,ant-design/ant-design,npm,,,1368,,2025-07-17 22:02:26.519+00,2025-07-17 22:02:26.571146+00
89,date-fns/date-fns,github,35933,1833,,,2025-07-17 22:02:26.692+00,2025-07-17 22:02:26.744551+00
90,dcodeIO/bcrypt.js,github,3704,279,,,2025-07-17 22:02:26.909+00,2025-07-17 22:02:26.958599+00
91,chakra-ui/chakra-ui,npm,,,1026,,2025-07-17 22:02:26.912+00,2025-07-17 22:02:27.110009+00
92,eslint/eslint,github,26106,4760,,,2025-07-17 22:02:27.271+00,2025-07-17 22:02:27.323135+00
93,expressjs/express,npm,,,45933867,,2025-07-17 22:02:27.181+00,2025-07-17 22:02:27.38967+00
94,expressjs/cors,github,6144,483,,,2025-07-17 22:02:27.533+00,2025-07-17 22:02:27.580147+00
95,facebook/react,npm,,,40817359,,2025-07-17 22:02:27.734+00,2025-07-17 22:02:27.793406+00
96,expressjs/express,github,67351,19493,,,2025-07-17 22:02:27.812+00,2025-07-17 22:02:27.858717+00
97,fastify/fastify,npm,,,2582626,,2025-07-17 22:02:27.858+00,2025-07-17 22:02:28.052201+00
98,expressjs/multer,github,11855,1074,,,2025-07-17 22:02:28.114+00,2025-07-17 22:02:28.163905+00
99,facebook/jest,github,44899,6574,,,2025-07-17 22:02:28.593+00,2025-07-17 22:02:28.63623+00
100,mui/material-ui,npm,,,88517,,2025-07-17 22:02:28.584+00,2025-07-17 22:02:28.794296+00
101,facebook/react,github,237359,48944,,,2025-07-17 22:02:28.939+00,2025-07-17 22:02:28.997864+00
102,fastify/fastify,github,34160,2449,,,2025-07-17 22:02:29.246+00,2025-07-17 22:02:29.293421+00
103,helmetjs/helmet,github,10457,382,,,2025-07-17 22:02:29.517+00,2025-07-17 22:02:29.564968+00
104,prisma/prisma,npm,,,4051803,,2025-07-17 22:02:29.478+00,2025-07-17 22:02:29.669979+00
105,supabase/supabase,npm,,,305457,,2025-07-17 22:02:29.739+00,2025-07-17 22:02:29.796813+00
106,iamkun/dayjs,github,47991,2369,,,2025-07-17 22:02:29.748+00,2025-07-17 22:02:29.807823+00
107,jaredhanson/passport,github,23361,1244,,,2025-07-17 22:02:29.968+00,2025-07-17 22:02:30.018107+00
